date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:16:24	17444/17444	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2013:05:01%20GMT	https://html.gridbootstrap.com/adrion/blog-details.html	html.gridbootstrap.com/adrion/blog-details.html	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:24	248699/248699	---M--	200	added ('OK')	image/jpeg	etag:%223cb7b-5cb1de7d-fd275b37a5c46e47;;;%22	https://html.gridbootstrap.com/adrion/images/blog/featured1.jpg	html.gridbootstrap.com/adrion/images/blog/featured1.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:25	78197/78197	---M--	200	added ('OK')	image/jpeg	etag:%2213175-5cb1de7d-eb5072a8913945b8;;;%22	https://html.gridbootstrap.com/adrion/images/blog/featured2.jpg	html.gridbootstrap.com/adrion/images/blog/featured2.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:26	41039/41039	---M--	200	added ('OK')	image/jpeg	etag:%22a04f-5cb1de7d-8bf51ac9c67c185f;;;%22	https://html.gridbootstrap.com/adrion/images/blog/featured3.jpg	html.gridbootstrap.com/adrion/images/blog/featured3.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:27	67903/67903	---M--	200	added ('OK')	image/jpeg	etag:%221093f-5cb1de7d-792a05d3634bd3c3;;;%22	https://html.gridbootstrap.com/adrion/images/blog/1.jpg	html.gridbootstrap.com/adrion/images/blog/1.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:28	81996/81996	---M--	200	added ('OK')	image/jpeg	etag:%221404c-5cb1de7d-1c3ea6eabb9aad75;;;%22	https://html.gridbootstrap.com/adrion/images/blog/2.jpg	html.gridbootstrap.com/adrion/images/blog/2.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:29	11422/11422	---M--	200	added ('OK')	image/jpeg	etag:%222c9e-5cb1de7d-1a491af8ee3c7bd8;;;%22	https://html.gridbootstrap.com/adrion/images/blog/3.jpg	html.gridbootstrap.com/adrion/images/blog/3.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:30	135446/135446	---M--	200	added ('OK')	image/jpeg	etag:%2221116-5cb1de7d-34f6844f0b9481a1;;;%22	https://html.gridbootstrap.com/adrion/images/blog/4.jpg	html.gridbootstrap.com/adrion/images/blog/4.jpg	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:31	85658/85658	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214e9a-5cb1de7d-63f74bf0bc06a4e8;gz%22	https://html.gridbootstrap.com/adrion/js/jquery.min.js	html.gridbootstrap.com/adrion/js/jquery.min.js	(from https://html.gridbootstrap.com/adrion/index3.html)
23:16:32	20340/20340	---M-Z	200	added ('OK')	application/x-javascript	etag:%224f74-5cb1de7d-58c3bf2aeb38827a;gz%22	https://html.gridbootstrap.com/adrion/js/popper.min.js	html.gridbootstrap.com/adrion/js/popper.min.js	(from https://html.gridbootstrap.com/adrion/index3.html)
